id,confidence_score,source,product_id,pubchem_tag_id
6,1.0,pug_view_api,1,6
8,1.0,pug_view_api,7,8
9,1.0,pug_view_api,8,9
10,1.0,pug_view_api,9,10
11,1.0,pug_view_api,23,11
12,1.0,pug_view_api,24,12
13,1.0,pug_view_api,28,13
14,1.0,pug_view_api,30,14
15,1.0,pug_view_api,32,15
16,1.0,pug_view_api,34,16
17,1.0,pug_view_api,36,17
18,1.0,pug_view_api,57,18
19,1.0,pug_view_api,60,19
20,1.0,pug_view_api,61,20
21,1.0,pug_view_api,65,21
22,1.0,pug_view_api,67,22
23,1.0,pug_view_api,68,23
24,1.0,pug_view_api,71,24
25,1.0,pug_view_api,72,25
26,1.0,pug_view_api,74,26
27,1.0,pug_view_api,75,27
28,1.0,pug_view_api,76,28
29,1.0,pug_view_api,78,29
30,1.0,pug_view_api,79,30
31,1.0,pug_view_api,83,31
32,1.0,pug_view_api,89,32
33,1.0,pug_view_api,95,33
34,1.0,pug_view_api,97,34
35,1.0,pug_view_api,98,35
36,1.0,pug_view_api,101,36
37,1.0,pug_view_api,116,37
38,1.0,pug_view_api,135,38
39,1.0,pug_view_api,159,39
40,1.0,pug_view_api,167,40
41,1.0,pug_view_api,174,41
42,1.0,pug_view_api,178,42
43,1.0,pug_view_api,185,43
44,1.0,pug_view_api,192,44
45,1.0,pug_view_api,206,45
46,1.0,pug_view_api,215,46
47,1.0,pug_view_api,216,47
48,1.0,pug_view_api,221,48
49,1.0,pug_view_api,223,49
50,1.0,pug_view_api,230,50
51,1.0,pug_view_api,232,51
52,1.0,pug_view_api,236,52
53,1.0,pug_view_api,237,53
54,1.0,pug_view_api,241,54
55,1.0,pug_view_api,242,55
56,1.0,pug_view_api,244,56
57,1.0,pug_view_api,246,57
58,1.0,pug_view_api,247,57
59,1.0,pug_view_api,258,59
142,1.0,pug_view_api,280,142
143,1.0,pug_view_api,321,143
144,1.0,pug_view_api,342,30
145,1.0,pug_view_api,343,145
146,1.0,pug_view_api,350,146
147,1.0,pug_view_api,351,147
148,1.0,pug_view_api,352,148
149,1.0,pug_view_api,353,149
150,1.0,pug_view_api,354,150
151,1.0,pug_view_api,361,151
152,1.0,pug_view_api,362,152
153,1.0,pug_view_api,388,9
154,1.0,pug_view_api,389,10
155,1.0,pug_view_api,400,155
156,1.0,pug_view_api,438,44
157,1.0,pug_view_api,441,157
158,1.0,pug_view_api,442,34
159,1.0,pug_view_api,476,159
160,1.0,pug_view_api,479,160
161,1.0,pug_view_api,497,150
162,1.0,pug_view_api,498,159
163,1.0,pug_view_api,502,147
164,1.0,pug_view_api,508,164
165,1.0,pug_view_api,510,165
166,1.0,pug_view_api,537,166
167,1.0,pug_view_api,573,167
168,1.0,pug_view_api,584,168
169,1.0,pug_view_api,611,169
170,1.0,pug_view_api,632,143
171,1.0,pug_view_api,670,171
172,1.0,pug_view_api,688,172
173,1.0,pug_view_api,699,23
174,1.0,pug_view_api,701,174
175,1.0,pug_view_api,704,175
176,1.0,pug_view_api,721,149
177,1.0,pug_view_api,726,37
178,1.0,pug_view_api,729,178
179,1.0,pug_view_api,740,179
180,1.0,pug_view_api,741,180
181,1.0,pug_view_api,742,181
182,1.0,pug_view_api,743,182
183,1.0,pug_view_api,744,183
184,1.0,pug_view_api,755,184
185,1.0,pug_view_api,756,185
186,1.0,pug_view_api,814,186
187,1.0,pug_view_api,815,187
188,1.0,pug_view_api,871,142
189,1.0,pug_view_api,879,189
190,1.0,pug_view_api,899,190
191,1.0,pug_view_api,968,191
192,1.0,pug_view_api,981,192
193,1.0,pug_view_api,1030,193
194,1.0,pug_view_api,1066,194
195,1.0,pug_view_api,1070,195
196,1.0,pug_view_api,1115,52
197,1.0,pug_view_api,1123,197
198,1.0,pug_view_api,1124,198
199,1.0,pug_view_api,1125,199
200,1.0,pug_view_api,1189,148
201,1.0,pug_view_api,1190,201
202,1.0,pug_view_api,1196,202
203,1.0,pug_view_api,1211,203
204,1.0,pug_view_api,1213,204
205,1.0,pug_view_api,1221,205
206,1.0,pug_view_api,1262,206
207,1.0,pug_view_api,1272,207
208,1.0,pug_view_api,1280,208
209,1.0,pug_view_api,1308,209
210,1.0,pug_view_api,1320,210
211,1.0,pug_view_api,1321,211
212,1.0,pug_view_api,1328,212
213,1.0,pug_view_api,1332,213
214,1.0,pug_view_api,1338,214
215,1.0,pug_view_api,1342,215
216,1.0,pug_view_api,1343,216
217,1.0,pug_view_api,1362,217
218,1.0,pug_view_api,1365,218
219,1.0,pug_view_api,1375,219
220,1.0,pug_view_api,1376,220
221,1.0,pug_view_api,1384,221
222,1.0,pug_view_api,1388,222
223,1.0,pug_view_api,1392,223
224,1.0,pug_view_api,1400,224
225,1.0,pug_view_api,1463,52
226,1.0,pug_view_api,1464,226
227,1.0,pug_view_api,1473,227
228,1.0,pug_view_api,1486,159
229,1.0,pug_view_api,1509,150
230,1.0,pug_view_api,1528,230
231,1.0,pug_view_api,1533,231
232,1.0,pug_view_api,1535,232
233,1.0,pug_view_api,1536,233
234,1.0,pug_view_api,1537,234
235,1.0,pug_view_api,1538,235
236,1.0,pug_view_api,1544,236
237,1.0,pug_view_api,1554,237
238,1.0,pug_view_api,1559,238
239,1.0,pug_view_api,1560,239
240,1.0,pug_view_api,1568,240
241,1.0,pug_view_api,1575,241
242,1.0,pug_view_api,1576,242
243,1.0,pug_view_api,1590,243
244,1.0,pug_view_api,1619,244
245,1.0,pug_view_api,1622,245
246,1.0,pug_view_api,1662,204
247,1.0,pug_view_api,1679,247
248,1.0,pug_view_api,1696,248
249,1.0,pug_view_api,1726,249
250,1.0,pug_view_api,1738,250
251,1.0,pug_view_api,1763,251
252,1.0,pug_view_api,1764,252
253,1.0,pug_view_api,1802,253
254,1.0,pug_view_api,1803,254
255,1.0,pug_view_api,1857,255
256,1.0,pug_view_api,1858,256
257,1.0,pug_view_api,1930,257
258,1.0,pug_view_api,1936,258
259,1.0,pug_view_api,1938,259
260,1.0,pug_view_api,1941,260
261,1.0,pug_view_api,1948,261
262,1.0,pug_view_api,1994,262
263,1.0,pug_view_api,1995,263
264,1.0,pug_view_api,2039,264
265,1.0,pug_view_api,2084,265
266,1.0,pug_view_api,2116,266
267,1.0,pug_view_api,2118,43
268,1.0,pug_view_api,2138,268
269,1.0,pug_view_api,3997,269
270,1.0,pug_view_api,4019,150
271,1.0,pug_view_api,4147,271
272,1.0,pug_view_api,4181,272
273,1.0,pug_view_api,4216,209
274,1.0,pug_view_api,4294,150
275,1.0,pug_view_api,4550,275
276,1.0,pug_view_api,4676,276
277,1.0,pug_view_api,4713,277
278,1.0,pug_view_api,4746,47
279,1.0,pug_view_api,4794,279
280,1.0,pug_view_api,5055,280
281,1.0,pug_view_api,5058,174
282,1.0,pug_view_api,5060,282
283,1.0,pug_view_api,5061,283
284,1.0,pug_view_api,5062,19
285,1.0,pug_view_api,5076,285
286,1.0,pug_view_api,5121,286
287,1.0,pug_view_api,5128,272
288,1.0,pug_view_api,5148,288
289,1.0,pug_view_api,5162,289
290,1.0,pug_view_api,5304,290
291,1.0,pug_view_api,5307,291
292,1.0,pug_view_api,5324,292
293,1.0,pug_view_api,5364,293
294,1.0,pug_view_api,5421,294
295,1.0,pug_view_api,5556,208
296,1.0,pug_view_api,5570,37
297,1.0,pug_view_api,5597,297
298,1.0,pug_view_api,5598,298
299,1.0,pug_view_api,5626,299
300,1.0,pug_view_api,5663,300
301,1.0,pug_view_api,5694,301
302,1.0,pug_view_api,5696,302
303,1.0,pug_view_api,5727,303
304,1.0,pug_view_api,5742,304
305,1.0,pug_view_api,5745,305
306,1.0,pug_view_api,5746,306
307,1.0,pug_view_api,5747,307
308,1.0,pug_view_api,5748,308
309,1.0,pug_view_api,5751,309
310,1.0,pug_view_api,5752,310
311,1.0,pug_view_api,5821,311
312,1.0,pug_view_api,5826,143
313,1.0,pug_view_api,5827,159
314,1.0,pug_view_api,5904,314
315,1.0,pug_view_api,5928,230
316,1.0,pug_view_api,5953,43
317,1.0,pug_view_api,6009,43
318,1.0,pug_view_api,6011,318
319,1.0,pug_view_api,6032,319
320,1.0,pug_view_api,6160,320
321,1.0,pug_view_api,6162,321
322,1.0,pug_view_api,6163,322
323,1.0,pug_view_api,6187,244
324,1.0,pug_view_api,6200,324
